dataset,model,n_available_seeds,available_seeds,missing_seeds,n_total_across_seeds,ece_mean,ece_std,brier_mean,brier_std,error_rate_mean,error_rate_std,high_confidence_error_rate_mean,high_confidence_error_rate_std,mean_confidence_mean,mean_confidence_std,near_threshold_rate_mean,near_threshold_rate_std
weibo,MMDFND,3,"42,2024,2026",,4395,0.04764764358836986,0.004063041897029784,0.07218729221876645,0.01300975173310945,0.09055745164960181,0.024271307321838936,0.043003412969283276,0.009029867955851844,0.9557325964332001,0.025819555904487812,0.02775881683731513,0.013346993743856624
weibo21,MMDFND,3,"42,2024,2026",,1845,0.054571208508337514,0.0029946812848297513,0.06564075542940989,0.010612869264583857,0.07371273712737127,0.014664226838448433,0.04878048780487806,0.0016260162601626008,0.9737079688982392,0.015521648564359725,0.011382113821138212,0.002816342776534759
