split,variant,family,decision_variant,rows,alpha_mean,alpha_active_rate,alpha_final_error_auc,alpha_final_error_corr,q_entropy_mean,q_entropy_final_error_auc,q_entropy_final_error_corr,expected_utility,expected_positive_utility,expected_branch_correct,oracle_capture_mean,top_weight_branch_correct_rate,top_weight_matches_utility_rate,top_weight_matches_confidence_rate,w_text_mean,w_image_mean,w_fusion_mean,top_weight_text_rate,top_weight_image_rate,top_weight_fusion_rate,final_error_rate,low_margin_rate,high_risk_rate,boundary_trust_rate,weak_domain_rate,boundary_rows,boundary_expected_utility,boundary_expected_branch_correct,boundary_alpha_mean,non_boundary_rows,non_boundary_expected_utility,non_boundary_expected_branch_correct,non_boundary_alpha_mean,low_margin_rows,low_margin_expected_utility,low_margin_expected_branch_correct,low_margin_alpha_mean,high_risk_rows,high_risk_expected_utility,high_risk_expected_branch_correct,high_risk_alpha_mean,high_disagreement_rows,high_disagreement_expected_utility,high_disagreement_expected_branch_correct,high_disagreement_alpha_mean,weak_domain_rows,weak_domain_expected_utility,weak_domain_expected_branch_correct,weak_domain_alpha_mean,final_error_rows,final_error_expected_utility,final_error_expected_branch_correct,final_error_alpha_mean,final_correct_rows,final_correct_expected_utility,final_correct_expected_branch_correct,final_correct_alpha_mean
train,bua_anchor_static_aux2p0,anchor,True,4926,0.0,0.0,,,0.9999999999999998,,,0.21695395058822298,0.21702165428293216,0.9996616592231697,0.0,1.0,0.5032480714575721,0.6723507917174177,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.35139326198888604,0.9987449799196787,0.0,3598,0.167333215307489,1.0,0.0,1232,0.36037746076035854,1.0,0.0,1232,0.35198065006651064,0.9986471861471861,0.0,1232,0.17544160270688205,1.0,0.0,920,0.2092262820699672,0.9996376811594204,0.0,0,,,,4926,0.21695395058822298,0.9996616592231697,0.0
train,bua_boundary_gated_utility_aux,primary,True,4926,0.12351262587638917,0.26958993097848155,,,0.048214076316804896,,,0.29247379369609267,0.2925167992564957,0.9998279142244788,0.12351262587638917,1.0,0.6177425903369874,0.6636215996751929,0.3563716613445767,0.2929047852551103,0.35072355340031297,0.8855054811205847,0.0,0.11449451887941535,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.6315218366495535,0.9993616758055589,0.45814999628546166,3598,0.167333215307489,1.0,0.0,1232,0.6447425326155775,1.0,0.4553795304127372,1232,0.6310989590727262,0.9993119362579401,0.4580628989673453,1232,0.27271909872711997,1.0,0.22048231434660548,920,0.2850912076293933,0.9998171638197593,0.12662600443488659,0,,,,4926,0.29247379369609267,0.9998279142244788,0.12351262587638917
train,bua_utility_only_aux_alloc,ablation,True,4926,0.5,1.0,,,0.048214076316804896,,,0.4216132582155567,0.421647113392954,0.9998308286410474,0.5,1.0,1.0,0.3950466910272026,0.4132762799244951,0.16860247510601847,0.4181212449694863,0.5032480714575721,0.0,0.49675192854242795,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.671955866340715,0.9993724863597887,0.5,3598,0.3292133183628024,1.0,0.5,1232,0.6878156406278101,1.0,0.5,1232,0.6722817833796705,0.999323589193019,0.5,1232,0.3367287023187273,1.0,0.5,920,0.40655230839861006,0.9998188382501193,0.5,0,,,,4926,0.4216132582155567,0.9998308286410474,0.5
train,bua_entropy_gated_utility_aux,ablation,True,4926,0.47589296184159763,1.0,,,0.048214076316804896,,,0.4039897431619365,0.40402361988190083,0.9998279142244788,0.47589296184159763,1.0,1.0,0.3950466910272026,0.3988715053557232,0.17630089501138538,0.4248275996328914,0.5032480714575721,0.0,0.49675192854242795,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.6315218366495535,0.9993616758055589,0.45814999628546166,3598,0.3200090260547782,1.0,0.4824417829251297,1232,0.6447425326155775,1.0,0.4553795304127372,1232,0.6310989590727262,0.9993119362579401,0.4580628989673453,1232,0.3190192473087877,1.0,0.48233007232785496,920,0.3897276709952508,0.9998171638197593,0.4764630907900376,0,,,,4926,0.4039897431619365,0.9998279142244788,0.47589296184159763
train,bua_boundary_only_aux_strength,ablation,True,4926,0.13479496548924078,0.26958993097848155,,,0.9999999999999998,,,0.21695395058822298,0.21702165428293216,0.9996616592231697,0.0,1.0,0.5032480714575721,0.6723507917174177,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.35139326198888604,0.9987449799196787,0.5,3598,0.167333215307489,1.0,0.0,1232,0.36037746076035854,1.0,0.5,1232,0.35198065006651064,0.9986471861471861,0.5,1232,0.17544160270688205,1.0,0.23498376623376624,920,0.2092262820699672,0.9996376811594204,0.13804347826086957,0,,,,4926,0.21695395058822298,0.9996616592231697,0.13479496548924078
train,bua_shuffled_utility_control,control,True,4926,0.12835526006431425,0.26958993097848155,,,0.048214076316804896,,,0.2328252252985354,0.2328897891579124,0.9995187241246815,0.029386430167118626,0.9993909866017052,0.4801055623223711,0.6825010150223305,0.35020513360264344,0.2909898092674441,0.35880505712991256,0.8643930166463663,0.0,0.13560698335363378,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.4102651740543973,0.9982147854203173,0.47611296014820176,3598,0.167333215307489,1.0,0.0,1232,0.4180454764711504,1.0,0.4760790281258554,1232,0.4079392718491798,0.9980756777907316,0.47582653502370814,1232,0.2048158765325495,1.0,0.22327328264160692,920,0.23158735058695662,0.9998112930739521,0.13120345050017054,0,,,,4926,0.2328252252985354,0.9995187241246815,0.12835526006431425
train,bua_shuffled_boundary_control,control,True,4926,0.1282620114673885,0.26958993097848155,,,0.048214076316804896,,,0.2688340397268407,0.2688932740555984,0.9996950687635947,0.1282620114673885,1.0,0.6337799431587495,0.5919610231425091,0.3527000615094421,0.29100370370343737,0.3562962347871206,0.8694681282988226,0.0,0.13053187170117742,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.4281469372541783,0.998868907175804,0.11873404450838132,3598,0.21003261451386007,1.0,0.13177872634275303,1232,0.43913527295703325,1.0,0.11756897516665761,1232,0.42766650533963196,0.99878077007262,0.11754686244356173,1232,0.2187610365467168,1.0,0.12940308103850445,920,0.2646658472933897,0.9996376811594204,0.12586285561564833,0,,,,4926,0.2688340397268407,0.9996950687635947,0.1282620114673885
train,bua_random_utility_control,control,True,4926,0.03287610891337668,0.26958993097848155,,,0.7588389625576236,,,0.2172812933434134,0.21734892151213936,0.9996889770445129,0.00013740419767948125,0.9997969955339018,0.440113682501015,0.6546894031668696,0.33356596265610294,0.33305933391582876,0.33337470342806835,0.8235891189606172,0.0828258221680877,0.09358505887129517,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.3526074866967687,0.9988463109346918,0.12194857869525114,3598,0.167333215307489,1.0,0.0,1232,0.3612559511832391,1.0,0.12253981729480651,1232,0.35375101456911495,0.998756413085447,0.12132809903420494,1232,0.17714921137075032,1.0,0.05704752642460847,920,0.20893371466042773,0.9995943406116367,0.031282755814789516,0,,,,4926,0.2172812933434134,0.9996889770445129,0.03287610891337668
train,bua_reverse_utility_control,control,True,4926,0.021417795933611303,0.11449451887941535,,,0.8112911295502574,,,0.2169016344092239,0.21697407615830755,0.9996616592231697,-0.010745054322915558,1.0,0.5032480714575721,0.6711327649208283,0.3378460493249427,0.33595958600907305,0.3261943646659843,0.9987819732034104,0.001218026796589525,0.0,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.3511992036321469,0.9987449799196788,0.07944583039832023,3598,0.167333215307489,1.0,0.0,1232,0.36017843142999734,1.0,0.07477592390857854,1232,0.3517766376318463,0.9986471861471863,0.08210829171711453,1232,0.17529417311086878,1.0,0.0552727116537985,920,0.20917204100281414,0.9996376811594204,0.02338045757251036,0,,,,4926,0.2169016344092239,0.9996616592231697,0.021417795933611303
train,bua_confidence_only_branch_allocation,control,True,4926,0.00023428051509867908,0.2614697523345514,,,0.9995202278889206,,,0.21702781874526172,0.21709551957520096,0.9996926656778763,4.2390717509683896e-05,1.0,0.44803085667884696,0.8333333333333334,0.33336030511405934,0.3333454363032824,0.3332942585826584,0.8390174583840845,0.03329273244011368,0.12768980917580186,0.0,0.2501015022330491,0.2501015022330491,0.26958993097848155,0.18676410881039382,1328,0.35166726390272124,0.9988599933201948,0.0008690254648916364,3598,0.167333215307489,1.0,0.0,1232,0.3604326221650375,1.0,0.00024263593370041874,1232,0.3522760027710181,0.9987711616308594,0.0009367117150098218,1232,0.17548777218617626,1.0,0.00028623570352134857,920,0.2093554054076672,0.9996838478674449,0.0002066387796913433,0,,,,4926,0.21702781874526172,0.9996926656778763,0.00023428051509867908
