rows,macro_f1,accuracy,auc,brier,ece,high_conf_error_rate,dataset,seed,split,selector_mode,reliability_signal,reliability_lambda,variant_tag,checkpoint,reliability_stats_count
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003090183489,0.027006452129137538,0.024390243902439025,weibo21,42,val,reliability,branch_fusion,0.2,reliability_branch_fusion_lambda0p2,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003090183489,0.027006452129137538,0.024390243902439025,weibo21,42,val,reliability,branch_fusion,0.5,reliability_branch_fusion_lambda0p5,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9875409836065574,0.038498113764845056,0.024283551235424878,0.022764227642276424,weibo21,42,val,reliability,branch_fusion,1.0,reliability_branch_fusion_lambda1p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.03869003231169586,0.027005501896482122,0.024390243902439025,weibo21,42,val,reliability,clip,0.0,reliability_clip_lambda0p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.03869003231169586,0.027005501896482122,0.024390243902439025,weibo21,42,val,reliability,clip,0.05,reliability_clip_lambda0p05,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.98737176097303,0.03872015282805865,0.02690715888283584,0.024390243902439025,weibo21,42,val,reliability,clip,0.1,reliability_clip_lambda0p1,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.98737176097303,0.03872100898811292,0.02688551295162519,0.024390243902439025,weibo21,42,val,reliability,clip,0.2,reliability_clip_lambda0p2,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.987414066631412,0.03866213056632062,0.02434258284656534,0.024390243902439025,weibo21,42,val,reliability,clip,0.5,reliability_clip_lambda0p5,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.987414066631412,0.038678943620978797,0.024330244142251222,0.024390243902439025,weibo21,42,val,reliability,clip,1.0,reliability_clip_lambda1p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.03869003231169586,0.027005501896482122,0.024390243902439025,weibo21,42,val,reliability,branch_fusion_clip,0.0,reliability_branch_fusion_clip_lambda0p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003023560585,0.027006649998926102,0.024390243902439025,weibo21,42,val,reliability,branch_fusion_clip,0.05,reliability_branch_fusion_clip_lambda0p05,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003023560585,0.027006649998926102,0.024390243902439025,weibo21,42,val,reliability,branch_fusion_clip,0.1,reliability_branch_fusion_clip_lambda0p1,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003023560585,0.027006649998926102,0.024390243902439025,weibo21,42,val,reliability,branch_fusion_clip,0.2,reliability_branch_fusion_clip_lambda0p2,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003023560585,0.027006649998926102,0.024390243902439025,weibo21,42,val,reliability,branch_fusion_clip,0.5,reliability_branch_fusion_clip_lambda0p5,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873823373876256,0.03869003023560585,0.027006649998926102,0.024390243902439025,weibo21,42,val,reliability,branch_fusion_clip,1.0,reliability_branch_fusion_clip_lambda1p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.03869003231169586,0.027005501896482122,0.024390243902439025,weibo21,42,val,reliability,confidence_uncertainty,0.0,reliability_confidence_uncertainty_lambda0p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.0386900321116994,0.027005988795778032,0.024390243902439025,weibo21,42,val,reliability,confidence_uncertainty,0.05,reliability_confidence_uncertainty_lambda0p05,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
