dataset,split,lambda,group,n_seeds,mean_jaccard_change_from_deterministic_mean,mean_jaccard_change_from_deterministic_std,mean_repeated_eval_selection_entropy_mean,mean_repeated_eval_selection_entropy_std,mean_pad_top1_top2_margin_mean,mean_pad_top1_top2_margin_std,offline_selected_weak_domain_neighbor_rate_mean,offline_selected_weak_domain_neighbor_rate_std,n_total_across_seeds
weibo,test,0.1,low_conflict,3,0.6091432031486529,0.019252937445455223,1.6689808540837967,0.0014008468188816516,16.79548810981383,0.05898892856513758,0.4069028156221617,0.025317638264789,1101
weibo,test,0.1,weak_domain_samples,3,0.5201288244766507,0.12128715012979421,1.6691777654316116,0.0024374886170526622,16.792645638691628,0.05518598010845592,0.6521739130434782,0.009586055474871685,414
weibo,test,0.2,all,3,0.5997724687144483,0.021164079097580852,1.6693356821832668,0.0010060518305481149,16.795335292707666,0.058793962588479715,0.3788395904436859,0.013169816642713137,4395
weibo,test,0.2,high_conflict,3,0.6085376930063581,0.05179501336742331,1.6704414557804312,0.0014369699897598422,16.79514217463328,0.058479103180191734,0.4341507720254314,0.027293331882500896,1101
weibo,test,0.2,low_conflict,3,0.6091432031486529,0.019252937445455223,1.6689808540837967,0.0014008468188816516,16.79548810981383,0.05898892856513758,0.4069028156221617,0.025317638264789,1101
weibo,test,0.2,weak_domain_samples,3,0.5201288244766507,0.12128715012979421,1.6691777654316116,0.0024374886170526622,16.792645638691628,0.05518598010845592,0.6521739130434782,0.009586055474871685,414
weibo,test,0.5,all,3,0.5997724687144483,0.021164079097580852,1.6693356821832668,0.0010060518305481149,16.795335292707666,0.058793962588479715,0.3788395904436859,0.013169816642713137,4395
weibo,test,0.5,high_conflict,3,0.6085376930063581,0.05179501336742331,1.6704414557804312,0.0014369699897598422,16.79514217463328,0.058479103180191734,0.4341507720254314,0.027293331882500896,1101
weibo,test,0.5,low_conflict,3,0.6091432031486529,0.019252937445455223,1.6689808540837967,0.0014008468188816516,16.79548810981383,0.05898892856513758,0.4069028156221617,0.025317638264789,1101
weibo,test,0.5,weak_domain_samples,3,0.5201288244766507,0.12128715012979421,1.6691777654316116,0.0024374886170526622,16.792645638691628,0.05518598010845592,0.6521739130434782,0.009586055474871685,414
weibo,test,1.0,all,3,0.6027303754266213,0.021054944094039435,1.6693356821832668,0.0010060518305481149,16.795335292707666,0.058793962588479715,0.37963594994311717,0.013831301024844082,4395
weibo,test,1.0,high_conflict,3,0.6085376930063581,0.05179501336742331,1.6704414557804312,0.0014369699897598422,16.79514217463328,0.058479103180191734,0.4341507720254314,0.027293331882500896,1101
weibo,test,1.0,low_conflict,3,0.6179231002119286,0.018263434613206984,1.6689808540837967,0.0014008468188816516,16.79548810981383,0.05898892856513758,0.40962761126248864,0.027054261596015396,1101
weibo,test,1.0,weak_domain_samples,3,0.5201288244766507,0.12128715012979421,1.6691777654316116,0.0024374886170526622,16.792645638691628,0.05518598010845592,0.6521739130434782,0.009586055474871685,414
weibo,val,0.0,all,3,0.0,0.0,1.6692519272773716,0.0017290475635876662,16.79510414557949,0.05870704042589821,0.2131277184657967,0.14940537717253,2529
weibo,val,0.0,high_conflict,3,0.0,0.0,1.667418572010022,0.00217144299164894,16.795189684224543,0.05895798468430704,0.1998420221169036,0.14455623739158827,633
weibo,val,0.0,low_conflict,3,0.0,0.0,1.6691365904905975,0.002271308224359654,16.794699839129457,0.058327512010118626,0.2503949447077409,0.16596702577649672,633
weibo,val,0.0,weak_domain_samples,3,0.0,0.0,1.6691888289890071,0.0021381984263980592,16.79284911868216,0.05719202508241575,0.8218390804597702,0.27925357731623773,348
weibo,val,0.05,all,3,0.5936470278107291,0.00943483862827115,1.6692519272773716,0.0017290475635876662,16.79510414557949,0.05870704042589821,0.39066824831949387,0.003949186309892898,2529
weibo,val,0.05,high_conflict,3,0.6045286993154294,0.054481378225919266,1.667418572010022,0.00217144299164894,16.795189684224543,0.05895798468430704,0.4273301737756714,0.018098640185449624,633
weibo,val,0.05,low_conflict,3,0.6066350710900476,0.03298675042309816,1.6691365904905975,0.002271308224359654,16.794699839129457,0.058327512010118626,0.5102685624012638,0.0180986401854496,633
weibo,val,0.05,weak_domain_samples,3,0.47892720306513414,0.1699375174991962,1.6691888289890071,0.0021381984263980592,16.79284911868216,0.05719202508241575,0.6681034482758621,0.02826482122543964,348
weibo,val,0.1,all,3,0.5936470278107291,0.00943483862827115,1.6692519272773716,0.0017290475635876662,16.79510414557949,0.05870704042589821,0.39066824831949387,0.003949186309892898,2529
weibo,val,0.1,high_conflict,3,0.6045286993154294,0.054481378225919266,1.667418572010022,0.00217144299164894,16.795189684224543,0.05895798468430704,0.4273301737756714,0.018098640185449624,633
weibo,val,0.1,low_conflict,3,0.6066350710900476,0.03298675042309816,1.6691365904905975,0.002271308224359654,16.794699839129457,0.058327512010118626,0.5102685624012638,0.0180986401854496,633
weibo,val,0.1,weak_domain_samples,3,0.47892720306513414,0.1699375174991962,1.6691888289890071,0.0021381984263980592,16.79284911868216,0.05719202508241575,0.6681034482758621,0.02826482122543964,348
weibo,val,0.2,all,3,0.5936470278107291,0.00943483862827115,1.6692519272773716,0.0017290475635876662,16.79510414557949,0.05870704042589821,0.39066824831949387,0.003949186309892898,2529
weibo,val,0.2,high_conflict,3,0.6045286993154294,0.054481378225919266,1.667418572010022,0.00217144299164894,16.795189684224543,0.05895798468430704,0.4273301737756714,0.018098640185449624,633
weibo,val,0.2,low_conflict,3,0.6066350710900476,0.03298675042309816,1.6691365904905975,0.002271308224359654,16.794699839129457,0.058327512010118626,0.5102685624012638,0.0180986401854496,633
weibo,val,0.2,weak_domain_samples,3,0.47892720306513414,0.1699375174991962,1.6691888289890071,0.0021381984263980592,16.79284911868216,0.05719202508241575,0.6681034482758621,0.02826482122543964,348
weibo,val,0.5,all,3,0.5936470278107291,0.00943483862827115,1.6692519272773716,0.0017290475635876662,16.79510414557949,0.05870704042589821,0.39066824831949387,0.003949186309892898,2529
weibo,val,0.5,high_conflict,3,0.6045286993154294,0.054481378225919266,1.667418572010022,0.00217144299164894,16.795189684224543,0.05895798468430704,0.4273301737756714,0.018098640185449624,633
weibo,val,0.5,low_conflict,3,0.6066350710900476,0.03298675042309816,1.6691365904905975,0.002271308224359654,16.794699839129457,0.058327512010118626,0.5102685624012638,0.0180986401854496,633
weibo,val,0.5,weak_domain_samples,3,0.47892720306513414,0.1699375174991962,1.6691888289890071,0.0021381984263980592,16.79284911868216,0.05719202508241575,0.6681034482758621,0.02826482122543964,348
weibo,val,1.0,all,3,0.6001054435218137,0.010766088233379259,1.6692519272773716,0.0017290475635876662,16.79510414557949,0.05870704042589821,0.39185448793989713,0.0050444249988822005,2529
weibo,val,1.0,high_conflict,3,0.6045286993154294,0.054481378225919266,1.667418572010022,0.00217144299164894,16.795189684224543,0.05895798468430704,0.4273301737756714,0.018098640185449624,633
weibo,val,1.0,low_conflict,3,0.6255924170616115,0.03557134359936081,1.6691365904905975,0.002271308224359654,16.794699839129457,0.058327512010118626,0.5126382306477093,0.017467096672587664,633
weibo,val,1.0,weak_domain_samples,3,0.47892720306513414,0.1699375174991962,1.6691888289890071,0.0021381984263980592,16.79284911868216,0.05719202508241575,0.6681034482758621,0.02826482122543964,348
weibo21,test,0.0,all,3,0.0,0.0,1.66946471474035,0.0011258319991530891,16.823691726312404,0.034656997709662817,0.16476964769647692,0.05845937395000309,1845
weibo21,test,0.0,high_conflict,3,0.0,0.0,1.6689995264078117,0.0027964259348403314,16.82361243194316,0.035145843847933234,0.16774891774891773,0.0640634137963149,462
weibo21,test,0.0,low_conflict,3,0.0,0.0,1.669467944087404,0.0033894412943899855,16.823569401002032,0.033654915402911115,0.19696969696969693,0.06859286527052307,462
