dataset,n_seeds,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,auc_mean,auc_std,error_rate_mean,error_rate_std,high_conf_error_rate_mean,high_conf_error_rate_std,mean_confidence_mean,mean_confidence_std,n_total_across_seeds
weibo,3,0.941518840345947,0.003429257141113846,0.941524459613197,0.0034356470695202468,0.9865523391616481,0.001059609823545053,0.058475540386803186,0.0034356470695202485,0.01956769055745165,0.004794381685029687,0.9620570470496884,0.007131074449444185,4395
weibo21,3,0.9474178666443196,0.0073342984698454745,0.9474254742547426,0.007332113419224226,0.9878653269874845,0.0014003002507799432,0.05257452574525745,0.007332113419224218,0.023306233062330622,0.000938780925511586,0.9674264080751214,0.0034163870014019193,1845
