dataset,split,selected_lambda,selection_rule,val_full_conflict_error_auc,high_low_jaccard_change_gap,mean_repeated_eval_selection_entropy,mean_pad_top1_top2_margin,offline_selected_weak_domain_neighbor_rate
weibo,test,0.0,no_lambda_improved_val_selector_behavior,0.7463373258623349,0.0,1.6693356821832668,16.795335292707666,0.1639362912400455
weibo,val,0.0,no_lambda_improved_val_selector_behavior,0.7463373258623349,0.0,1.6692519272773716,16.79510414557949,0.2131277184657967
weibo21,test,0.05,smallest_lambda_with_val_high_conflict_jaccard_change_gap_improvement,0.8514508290451687,0.02020202020202022,1.66946471474035,16.823691726312404,0.32547425474254743
weibo21,val,0.05,smallest_lambda_with_val_high_conflict_jaccard_change_gap_improvement,0.8514508290451687,0.024531024531024626,1.6694913196046823,16.823786039274882,0.3224932249322493
