dataset,n_seeds,ece_mean,ece_std,brier_mean,brier_std,error_rate_mean,error_rate_std,high_conf_error_rate_mean,high_conf_error_rate_std,near_threshold_rate_mean,near_threshold_rate_std,mean_confidence_mean,mean_confidence_std
weibo,3.0,0.02107961381737125,0.008503885767911818,0.04399976394128293,0.003391204945185894,0.058475540386803186,0.0034356470695202485,0.01956769055745165,0.004794381685029687,0.019340159271899887,0.0017178235347601245,0.9620570470496884,0.007131074449444185
weibo21,3.0,0.025496299313398658,0.006560078026233712,0.041818209493438264,0.0054200565177920535,0.05257452574525745,0.007332113419224218,0.023306233062330622,0.000938780925511586,0.018428184281842817,0.006571466478581106,0.9674264080751214,0.0034163870014019193
