dataset,model,n_available_seeds,available_seeds,missing_seeds,n_total_across_seeds,macro_f1_mean,macro_f1_std,acc_mean,acc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std,high_confidence_error_rate_mean,high_confidence_error_rate_std,error_rate_mean,error_rate_std,mean_confidence_mean,mean_confidence_std,near_threshold_rate_mean,near_threshold_rate_std
weibo,DAMMFND,3,"42,2024,2026",,4395,0.9374196661164689,0.0027534151881581682,0.9374288964732651,0.002758670228209847,0.9856356793357263,0.0011757260869495378,0.03067411446659347,0.012200402962357762,0.04903674296977759,0.005009257164321262,0.027076222980659842,0.00946650469293048,0.06257110352673494,0.0027586702282098178,0.9668988741697967,0.009804834198448728,0.019340159271899887,0.004794381685029688
weibo21,DAMMFND,3,"42,2024,2026",,1845,0.9436088954262294,0.007533798749025755,0.9436314363143632,0.0075102474040927205,0.9839485281156355,0.004907562743122847,0.034004371216434535,0.007659253248115495,0.04760413012893838,0.009012699723985473,0.029268292682926828,0.01138211382113821,0.05636856368563686,0.007510247404092696,0.9672966646196413,0.007283212364069732,0.013550135501355013,0.00676964552671913
